127.0.0.1 - - [12/May/2023:14:12:00 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/May/2023:14:12:06 +0900] "GET /Web_Project/index.html HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [12/May/2023:14:12:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/May/2023:14:14:01 +0900] "GET /Web_Project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2023:14:14:04 +0900] "GET /Web_Project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2023:14:14:07 +0900] "GET /Web_Project/index.html HTTP/1.1" 200 1709
0:0:0:0:0:0:0:1 - - [12/May/2023:14:14:08 +0900] "GET /Web_Project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2023:14:14:09 +0900] "GET /Web_Project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2023:14:14:09 +0900] "GET /Web_Project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2023:14:14:09 +0900] "GET /Web_Project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2023:14:14:09 +0900] "GET /Web_Project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2023:14:14:09 +0900] "GET /Web_Project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2023:14:14:55 +0900] "GET /Web_Project/index.html HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [12/May/2023:14:14:55 +0900] "GET /Web_Project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2023:14:15:53 +0900] "GET /Web_Project/test.html HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [12/May/2023:14:17:44 +0900] "GET /Web_Project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2023:14:19:01 +0900] "GET /Web_Project/index.html HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [12/May/2023:14:19:20 +0900] "GET /Web_Project/index.html HTTP/1.1" 200 2009
0:0:0:0:0:0:0:1 - - [12/May/2023:14:19:20 +0900] "GET /Web_Project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2023:14:19:35 +0900] "GET /Web_Project/index.html HTTP/1.1" 200 2009
0:0:0:0:0:0:0:1 - - [12/May/2023:14:19:36 +0900] "GET /Web_Project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2023:14:19:36 +0900] "GET /Web_Project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2023:14:19:36 +0900] "GET /Web_Project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2023:14:19:37 +0900] "GET /Web_Project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2023:14:24:07 +0900] "GET /Web_Project/index.html HTTP/1.1" 200 2020
0:0:0:0:0:0:0:1 - - [12/May/2023:14:24:26 +0900] "GET /Web_Project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2023:14:24:27 +0900] "GET /Web_Project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2023:14:24:27 +0900] "GET /Web_Project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2023:14:24:27 +0900] "GET /Web_Project/index.html HTTP/1.1" 304 -
